,Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age,Female
312,312,Gabriel Gonzaga,74,242.0,74,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,0,1,0,0,46.0,0
313,313,Fernando Gonzalez,69,170.0,69,4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4,0,0,1,0,42.0,0
314,314,Thibault Gouti,70,155.0,70,3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3,0,1,0,0,39.0,0
315,315,Jonathan Goulet,72,170.0,72,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,0,1,0,0,46.0,0
316,316,Wilson Gouveia,73,185.0,73,3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2,0,1,0,0,47.0,0
317,317,Roger Gracie,76,185.0,76,1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9,0,1,0,0,44.0,0
318,318,Kron Gracie,69,145.0,69,5.15,0.41,8.13,0.53,0.88,0.25,0.0,0.9,0,0,1,0,37.0,0
319,319,Davey Grant,68,135.0,68,3.93,0.47,2.47,0.63,2.3,0.45,0.66,0.2,0,1,0,0,40.0,0
320,320,TJ Grant,70,155.0,70,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,0,1,0,0,42.0,0
321,321,Tony Gravely,65,135.0,65,3.69,0.55,3.16,0.42,5.6,0.51,0.5,0.8,0,1,0,0,34.0,0
322,322,Alexa Grasso,65,125.0,65,4.96,0.43,3.61,0.64,0.28,0.4,0.6,0.6,0,1,0,0,32.0,1
323,323,Michael Graves,70,170.0,70,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4,0,1,0,0,35.0,0
324,324,Max Griffin,71,170.0,71,4.14,0.48,3.94,0.56,1.7,0.51,0.66,0.5,0,1,0,0,40.0,0
325,325,Tyson Griffin,66,145.0,66,3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9,0,1,0,0,41.0,0
326,326,Gabe Green,70,170.0,70,6.57,0.46,7.23,0.49,1.0,1.0,0.57,0.5,0,0,0,1,32.0,0
327,327,Bobby Green,70,155.0,70,5.17,0.51,3.32,0.63,1.56,0.41,0.72,0.3,0,1,0,0,39.0,0
